Unnamed: 0,label,tweet
0,0,rt mayasolov woman shouldnt complain clean hous amp man alway take trash
1,1,rt boy dat coldtyga dwn bad cuffin dat hoe place
2,1,rt urkindofbrand dawg rt ever fuck bitch start cri confus shit
3,1,rt cganderson vivabas look like tranni
4,1,rt shenikarobert shit hear might true might faker bitch told ya
5,1,tmadisonx shit blow meclaim faith somebodi still fuck hoe
6,1,brighterday sit hate anoth bitch got much shit go
7,1,caus im tire big bitch come us skinni
8,1,amp might get ya bitch back amp that
9,1,rhythmixx hobbi includ fight mariam bitch
10,1,keek bitch curv everyon lol walk convers like smh
11,1,murda gang bitch gang land
12,1,hoe smoke loser yea go ig
13,1,bad bitch thing like
14,1,bitch get
15,1,bitch nigga miss
16,1,bitch plz whatev
17,1,bitch love
18,1,bitch get cut everyday b
19,1,black bottl amp bad bitch
20,1,broke bitch cant tell noth
21,1,cancel bitch like nino
22,1,cant see hoe wont chang
23,1,fuck bitch dont even suck dick kermit video bout fuck ig
24,1,got ya bitch tip toe hardwood floor
25,1,pussi lip like heaven door
26,1,hoe hit
27,1,met pussi ocean dr gave pussi pill
28,1,need trippi bitch fuck hennessi
29,1,spend money want bitch busi
30,1,txt old bitch new bitch pussi wetter
31,1,id say im back old old bitch would get excit
32,1,aint bout murder game pussi nigga shut
33,1,your toe aint done pussi stink
34,1,im done bitter bitch wrap angri bird there app
35,1,ya bitch
36,1,aint noth cut bitch
37,1,jus meet son ya mane ass bitch shot
38,1,lame cri hoe that tear clown
39,1,like snoop said dont love hoe
40,0,momma said pussi cat insid doghous
41,1,hate hoe favorit sevenon
42,1,nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick
43,1,pimp pimp hoe futur voic
44,1,post pictur pussi get like
45,1,pussi power drug happyhumpday
46,1,quick piec pussi call drive
47,1,run round like brand new pussi that bout get fuck
48,1,bitch even worst theyll send guy
49,1,hoe like nigga spend money talk bout
50,1,dont trust nigga bitch
51,1,yall nigga b cuf hoe caus yall aint never bitch
52,1,dodg bullet da bitch cut pregnant bound thank god
53,1,young pill chamberlain bitch love music
54,1,teanna trump probabl cleaner twitter hoe
55,1,gay nigga couldnt wait act like bitch tonight
56,1,ima steal cat n replac pitbul rt theparadox bitch
57,1,amp hes gone alway hoe
58,1,son bitch took tic tac like movi
59,1,wanna get money fuck model bitch russel simmon
60,1,probabl mind school much deal bitch ass teacher retweet
61,1,im fuck fag said
62,1,arizzleindacut femal think date pussi cute stuff make pussi
63,0,simplyaddictedtoguy woof woof hot scalli lad
64,1,adorebellaaa ya ever ask bitch bitch kany voic yes
65,1,adorezoey u gone bring ur side bitch game know ya gf friend swear
66,0,allaboutmanfeet woof woof hot sole
67,0,allyhaaaaa lemmi eat oreo amp dish one oreo lol
68,1,almightywayn jetsandaswish gook bitch fuck u mayb youll get better
69,1,almightywayn fuck red malon man bitch ass niggah could pleas use complet sentenc
70,0,eggplant emoji doey say look like scream lmao
71,1,autoworid hennessey venom gt that one sexi bitch
72,1,bossbytchh seh pussi wetter shower curtainahmesehwetnessltlmao
73,1,eaglesn everi eagl need see pic post bitch said racist shit
74,1,bvsedchink yo fuck skateboard yall wood push faggot man ball life amjemiebenn
